Sunday	0.388	0.0	0.612
Sunday	0.188	0.38	0.432
Sunday	0.4	0.211	0.389
Sunday	0.369	0.155	0.476
Sunday	0.164	0.473	0.364
Sunday	0.142	0.072	0.786
Sunday	0.327	0.348	0.324
Sunday	0.574	0.0	0.426
Sunday	0.521	0.0	0.479
Sunday	0.234	0.172	0.594
Sunday	0.31	0.0	0.69
Sunday	0.63	0.0	0.37
Sunday	0.278	0.0	0.722
Sunday	0.143	0.353	0.504
Sunday	0.181	0.184	0.634
Sunday	0.321	0.247	0.431
Sunday	0.375	0.208	0.417
Sunday	0.124	0.0	0.876
Sunday	0.311	0.059	0.629
Sunday	0.136	0.51	0.354
Sunday	0.73	0.0	0.27
Sunday	0.403	0.0	0.597
Sunday	0.435	0.0	0.565
Sunday	0.437	0.098	0.465
Sunday	0.5	0.0	0.5
Sunday	0.232	0.425	0.343
Sunday	0.229	0.432	0.339
Sunday	0.305	0.274	0.421
Sunday	0.278	0.0	0.722
Sunday	0.421	0.096	0.482
Sunday	0.231	0.107	0.661
Sunday	0.403	0.0	0.597
Sunday	0.434	0.0	0.566
Sunday	0.325	0.126	0.549
Sunday	0.392	0.129	0.478
Sunday	0.451	0.187	0.362
Sunday	0.278	0.0	0.722
Sunday	0.147	0.147	0.707
Sunday	0.14	0.3	0.559
Sunday	0.153	0.565	0.282
Sunday	0.265	0.0	0.735
Sunday	0.73	0.0	0.27
Sunday	0.263	0.175	0.562
Sunday	0.211	0.336	0.453
Sunday	0.127	0.201	0.672
Sunday	0.421	0.08	0.499
Sunday	0.322	0.178	0.5
Sunday	0.258	0.119	0.623
Sunday	0.31	0.0	0.69
Sunday	0.574	0.0	0.426
Sunday	0.535	0.0	0.465
Sunday	0.31	0.23	0.46
Sunday	0.0	0.0	1.0
Sunday	0.351	0.0	0.649
Sunday	0.411	0.192	0.397
Sunday	0.444	0.0	0.556
Sunday	0.156	0.208	0.636
Sunday	0.047	0.349	0.604
Sunday	0.263	0.0	0.737
Sunday	0.73	0.0	0.27
Sunday	0.201	0.056	0.743
Sunday	0.235	0.081	0.684
Sunday	0.557	0.0	0.443
Sunday	0.318	0.212	0.471
Sunday	0.403	0.0	0.597
Sunday	0.081	0.129	0.789
Sunday	0.342	0.0	0.658
Sunday	0.204	0.455	0.341
Sunday	0.351	0.0	0.649
Sunday	0.257	0.482	0.262
Sunday	0.337	0.109	0.554
Sunday	0.266	0.266	0.469
Sunday	0.215	0.249	0.536
Sunday	0.574	0.0	0.426
Sunday	0.28	0.12	0.6
Sunday	0.174	0.256	0.57
Sunday	0.263	0.199	0.538
Sunday	0.206	0.0	0.794
Sunday	0.699	0.0	0.301
Sunday	0.289	0.161	0.55
Sunday	0.257	0.141	0.602
Sunday	0.106	0.214	0.68
Sunday	0.088	0.328	0.584
Sunday	0.412	0.0	0.588
Sunday	0.341	0.054	0.604
Sunday	0.289	0.402	0.309
Sunday	0.403	0.0	0.597
Sunday	0.483	0.0	0.517
Sunday	0.325	0.237	0.439
Sunday	0.342	0.169	0.489
Sunday	0.359	0.048	0.593
Sunday	0.301	0.068	0.631
Sunday	0.157	0.0	0.843
Sunday	0.411	0.0	0.589
Sunday	0.568	0.074	0.358
Sunday	0.325	0.0	0.675
Sunday	0.344	0.21	0.446
Sunday	0.435	0.348	0.217
Sunday	0.292	0.147	0.56
Sunday	0.18	0.166	0.654
Sunday	0.323	0.0	0.677
Sunday	0.363	0.0	0.637
Sunday	0.377	0.166	0.457
Sunday	0.154	0.136	0.71
Sunday	0.158	0.324	0.518
Sunday	0.306	0.289	0.405
Sunday	0.454	0.072	0.474
Sunday	0.211	0.252	0.537
Sunday	0.476	0.0	0.524
Sunday	0.547	0.071	0.382
Sunday	0.316	0.122	0.561
Sunday	0.382	0.079	0.539
Sunday	0.331	0.178	0.491
Sunday	0.594	0.0	0.406
Sunday	0.099	0.301	0.6
Sunday	0.311	0.096	0.593
Sunday	0.168	0.273	0.559
Sunday	0.526	0.115	0.359
Sunday	0.48	0.073	0.447
Sunday	0.518	0.126	0.357
Sunday	0.313	0.202	0.485
Sunday	0.387	0.0	0.613
Sunday	0.25	0.312	0.438
Sunday	0.198	0.215	0.587
Sunday	0.444	0.0	0.556
Sunday	0.212	0.164	0.623
Sunday	0.493	0.0	0.507
Sunday	0.167	0.383	0.45
Sunday	0.0	0.45	0.55
Sunday	0.276	0.124	0.599
Sunday	0.32	0.186	0.494
Sunday	0.137	0.0	0.863
Sunday	0.416	0.146	0.438
Sunday	0.188	0.047	0.765
Sunday	0.194	0.0	0.806
Sunday	0.328	0.0	0.672
Sunday	0.441	0.099	0.46
Sunday	0.574	0.0	0.426
Sunday	0.155	0.31	0.535
Sunday	0.096	0.046	0.857
Sunday	0.574	0.0	0.426
Sunday	0.314	0.0	0.686
Sunday	0.385	0.142	0.473
Sunday	0.31	0.0	0.69
Sunday	0.304	0.245	0.451
Sunday	0.28	0.299	0.421
Sunday	0.259	0.294	0.447
Sunday	0.197	0.181	0.621
Sunday	0.293	0.315	0.392
Sunday	0.346	0.151	0.503
Sunday	0.178	0.163	0.659
Sunday	0.39	0.0	0.61
Sunday	0.413	0.0	0.587
Sunday	0.119	0.288	0.593
Sunday	0.45	0.112	0.438
Sunday	0.73	0.0	0.27
Sunday	0.21	0.292	0.498
Sunday	0.335	0.298	0.366
Sunday	0.458	0.194	0.348
Sunday	0.303	0.205	0.492
Sunday	0.464	0.109	0.427
Sunday	0.314	0.0	0.686
Sunday	0.215	0.534	0.251
Sunday	0.089	0.083	0.828
Sunday	0.0	0.206	0.794
Sunday	0.32	0.0	0.68
Sunday	0.27	0.0	0.73
Sunday	0.395	0.0	0.605
Sunday	0.333	0.0	0.667
Sunday	0.194	0.07	0.736
Sunday	0.173	0.199	0.628
Sunday	0.194	0.07	0.736
Sunday	0.278	0.0	0.722
Sunday	0.092	0.434	0.475
Sunday	0.259	0.0	0.741
Sunday	0.503	0.0	0.497
Sunday	0.112	0.288	0.6
Sunday	0.213	0.063	0.724
Sunday	0.403	0.0	0.597
Sunday	0.123	0.213	0.664
Sunday	0.208	0.331	0.462
Sunday	0.269	0.083	0.648
Sunday	0.176	0.275	0.549
Sunday	0.226	0.154	0.62
Sunday	0.574	0.0	0.426
Sunday	0.359	0.0	0.641
Sunday	0.218	0.326	0.456
Sunday	0.188	0.247	0.566
Sunday	0.13	0.293	0.577
Sunday	0.434	0.21	0.356
Sunday	0.411	0.0	0.589
Sunday	0.51	0.0	0.49
Sunday	0.0	0.0	1.0
Sunday	0.353	0.262	0.385
Sunday	0.342	0.405	0.253
Sunday	0.497	0.0	0.503
Sunday	0.192	0.288	0.519
Sunday	0.205	0.189	0.606
Sunday	0.321	0.094	0.584
Sunday	0.262	0.35	0.388
Sunday	0.089	0.155	0.757
Sunday	0.0	0.279	0.721
Sunday	0.317	0.079	0.603
Sunday	0.345	0.235	0.42
Sunday	0.213	0.0	0.787
Sunday	0.307	0.0	0.693
Sunday	0.371	0.047	0.582
Sunday	0.73	0.0	0.27
Sunday	0.263	0.2	0.537
Sunday	0.353	0.187	0.461
Sunday	0.152	0.272	0.575
Sunday	0.407	0.337	0.256
Sunday	0.487	0.157	0.356
Sunday	0.142	0.558	0.3
Sunday	0.251	0.122	0.627
Sunday	0.365	0.106	0.529
Sunday	0.412	0.0	0.588
Sunday	0.097	0.0	0.903
Sunday	0.737	0.0	0.263
Sunday	0.594	0.0	0.406
Sunday	0.252	0.0	0.748
Sunday	0.245	0.174	0.581
Sunday	0.425	0.0	0.575
Sunday	0.529	0.0	0.471
Sunday	0.583	0.0	0.417
Sunday	0.327	0.214	0.459
Sunday	0.087	0.165	0.748
Sunday	0.304	0.171	0.524
Sunday	0.547	0.0	0.453
Sunday	0.303	0.151	0.546
Sunday	0.115	0.332	0.553
Sunday	0.389	0.076	0.535
Sunday	0.281	0.336	0.383
Sunday	0.73	0.0	0.27
Sunday	0.34	0.205	0.455
Sunday	0.231	0.296	0.473
Sunday	0.298	0.33	0.372
Sunday	0.31	0.0	0.69
Sunday	0.29	0.122	0.588
Sunday	0.095	0.092	0.814
Sunday	0.313	0.154	0.533
Sunday	0.405	0.221	0.374
Sunday	0.164	0.29	0.546
Sunday	0.606	0.041	0.353
Sunday	0.583	0.0	0.417
Sunday	0.45	0.083	0.468
Sunday	0.321	0.0	0.679
Sunday	0.0	0.271	0.729
Sunday	0.155	0.385	0.46
Sunday	0.417	0.0	0.583
Sunday	0.231	0.0	0.769
Sunday	0.117	0.19	0.693
Sunday	0.082	0.552	0.366
Sunday	0.474	0.0	0.526
Sunday	0.316	0.0	0.684
Sunday	0.4	0.137	0.463
Sunday	0.314	0.221	0.465
Sunday	0.19	0.387	0.423
Sunday	0.459	0.215	0.326
Sunday	0.176	0.176	0.648
Sunday	0.186	0.088	0.726
Sunday	0.213	0.0	0.787
Sunday	0.0	0.344	0.656
Sunday	0.585	0.0	0.415
Sunday	0.193	0.24	0.567
Sunday	0.107	0.308	0.584
Sunday	0.474	0.0	0.526
Sunday	0.0	0.0	1.0
Sunday	0.318	0.212	0.471
Sunday	0.277	0.258	0.465
Sunday	0.171	0.28	0.549
Sunday	0.301	0.114	0.584
Sunday	0.296	0.339	0.365
Sunday	0.449	0.219	0.332
Sunday	0.351	0.0	0.649
Sunday	0.281	0.544	0.175
Sunday	0.329	0.305	0.366
Sunday	0.464	0.073	0.463
Sunday	0.388	0.153	0.459
Sunday	0.293	0.159	0.549
Sunday	0.0	0.268	0.732
Sunday	0.429	0.0	0.571
Sunday	0.348	0.191	0.46
Sunday	0.574	0.0	0.426
Sunday	0.251	0.248	0.501
Sunday	0.414	0.096	0.49
Sunday	0.0	0.0	1.0
